GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,RESIDENCE_STRATUM,SOCIAL_SUPPORT,HOUSEHOLD_SIZE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,REFRIGERATOR,PHONE,MOBILE,HOUSEHOLD_INCOME,JOB,PUBLIC_SCHOOL,SCHOOL_TYPE,QR_PRO,ENG_PRO
F,2.5,3.0,Technical or professional level employee,Home,4.0,None,3.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,no,ACADEMIC,71,93
F,2.0,3.0,Entrepreneur ,Independent professional,5.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,97,98
M,,,Independent,Home,2.0,Level 2,5.0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,2.0,2.0,no,ACADEMIC,17,43
F,,,Other occupation,Independent,2.0,None,3.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,65,80
M,3.0,3.0,Executive,Home,4.0,None,1.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,94,100
F,3.0,3.0,Independent,Executive,6.0,None,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,86,97
M,3.0,3.0,Small entrepreneur ,Executive,5.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,68,92
F,1.5,2.0,Entrepreneur ,Independent professional,6.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7.0,0.0,no,ACADEMIC,97,97
M,2.0,3.0,Independent,Operator,2.0,None,3.0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2.0,0.0,no,TECHNICAL,51,3
M,2.5,2.5,Independent,Home,2.0,Level 2,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,2.0,no,ACADEMIC,13,83
F,,,Other occupation,Independent professional,3.0,None,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,96,100
M,3.0,2.0,Technical or professional level employee,Entrepreneur ,2.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3.0,2.0,no,ACADEMIC,64,10
F,,2.5,Small entrepreneur ,Home,3.0,None,5.0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,3.0,0.0,no,ACADEMIC,41,56
M,3.0,3.0,Entrepreneur ,Small entrepreneur ,6.0,None,6.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7.0,0.0,no,ACADEMIC,99,97
F,0.5,0.5,Small entrepreneur ,Executive,1.0,Level 1,2.0,No,No,No,No,No,No,No,No,Yes,No,1.0,2.0,no,ACADEMIC,46,36
F,3.0,,Technical or professional level employee,Technical or professional level employee,3.0,None,2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3.0,0.0,no,ACADEMIC,89,74
M,3.0,3.0,Small entrepreneur ,Executive,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,83,89
M,3.0,3.0,Independent professional,Independent professional,3.0,None,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6.0,0.0,no,ACADEMIC,85,94
M,3.0,2.0,Operator,Independent,2.0,Level 2,4.0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,2.0,1.0,no,ACADEMIC,52,19
