landmass,zone,area,population,language,religion,bars,stripes,colours,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,red,green,blue,yellow,white,black,orange
b'5',b'1',648.0,16.0,b'10',b'2',0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'0'
b'3',b'1',29.0,3.0,b'6',b'6',0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'4',b'1',2388.0,20.0,b'8',b'2',2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'1',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'6',b'3',0.0,0.0,b'1',b'1',0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'1',b'1',b'0',b'1',b'0',b'1',b'1',b'1',b'0',b'1'
b'3',b'1',0.0,0.0,b'6',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0',b'0',b'0'
b'4',b'2',1247.0,7.0,b'10',b'5',0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'1',b'0'
b'2',b'3',2777.0,28.0,b'2',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'2',b'3',2777.0,28.0,b'2',b'0',0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'1',b'0',b'0'
b'6',b'2',7690.0,15.0,b'1',b'1',0.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'3',b'1',84.0,8.0,b'4',b'0',0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'1',b'4',19.0,0.0,b'1',b'1',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0'
b'5',b'1',1.0,0.0,b'8',b'2',0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'5',b'1',143.0,90.0,b'6',b'2',0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'0',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0'
b'3',b'1',31.0,10.0,b'6',b'0',3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'1',b'4',23.0,0.0,b'1',b'1',0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1'
b'4',b'1',113.0,3.0,b'3',b'5',0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'0',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'0'
b'5',b'1',47.0,1.0,b'10',b'3',0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'1',b'0',b'1',b'0',b'0',b'0',b'1',b'1',b'1'
b'2',b'3',1099.0,6.0,b'2',b'0',0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'4',b'2',600.0,1.0,b'10',b'5',0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,b'0',b'0',b'0',b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'0'
b'2',b'3',8512.0,119.0,b'6',b'0',0.0,0.0,4.0,1.0,0.0,0.0,0.0,22.0,b'0',b'0',b'0',b'0',b'1',b'0',b'1',b'1',b'1',b'1',b'0',b'0'
b'1',b'4',0.0,0.0,b'1',b'1',0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,b'0',b'0',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'5',b'1',6.0,0.0,b'10',b'2',0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'0',b'1',b'1',b'1',b'0'
b'3',b'1',111.0,9.0,b'5',b'6',0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'1',b'1',b'0',b'1',b'1',b'1',b'1',b'1',b'0',b'0'
b'4',b'4',274.0,7.0,b'3',b'5',0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
b'5',b'1',678.0,35.0,b'10',b'3',0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'4',b'2',28.0,4.0,b'10',b'5',0.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'0',b'1',b'0',b'0'
b'4',b'1',474.0,8.0,b'3',b'1',3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,b'0',b'0',b'0',b'0',b'0',b'1',b'1',b'0',b'1',b'0',b'0',b'0'
