@relation ./DSSD/data/datasets/balance/balance

@attribute c numeric
@attribute d numeric
@attribute b numeric
@attribute a numeric
@attribute class {'str0','str1','str2'}
@data
1.0,1.0,1.0,1.0,'str0'
1.0,2.0,1.0,1.0,'str2'
1.0,3.0,1.0,1.0,'str2'
1.0,4.0,1.0,1.0,'str2'
1.0,5.0,1.0,1.0,'str2'
2.0,1.0,1.0,1.0,'str2'
2.0,2.0,1.0,1.0,'str2'
2.0,3.0,1.0,1.0,'str2'
2.0,4.0,1.0,1.0,'str2'
2.0,5.0,1.0,1.0,'str2'
3.0,1.0,1.0,1.0,'str2'
3.0,2.0,1.0,1.0,'str2'
3.0,3.0,1.0,1.0,'str2'
3.0,4.0,1.0,1.0,'str2'
3.0,5.0,1.0,1.0,'str2'
4.0,1.0,1.0,1.0,'str2'
4.0,2.0,1.0,1.0,'str2'
4.0,3.0,1.0,1.0,'str2'
4.0,4.0,1.0,1.0,'str2'
4.0,5.0,1.0,1.0,'str2'
5.0,1.0,1.0,1.0,'str2'
5.0,2.0,1.0,1.0,'str2'
5.0,3.0,1.0,1.0,'str2'
5.0,4.0,1.0,1.0,'str2'
5.0,5.0,1.0,1.0,'str2'
1.0,1.0,2.0,1.0,'str1'
1.0,2.0,2.0,1.0,'str0'
1.0,3.0,2.0,1.0,'str2'
1.0,4.0,2.0,1.0,'str2'
1.0,5.0,2.0,1.0,'str2'
2.0,1.0,2.0,1.0,'str0'
2.0,2.0,2.0,1.0,'str2'
2.0,3.0,2.0,1.0,'str2'
2.0,4.0,2.0,1.0,'str2'
2.0,5.0,2.0,1.0,'str2'
3.0,1.0,2.0,1.0,'str2'
3.0,2.0,2.0,1.0,'str2'
3.0,3.0,2.0,1.0,'str2'
3.0,4.0,2.0,1.0,'str2'
3.0,5.0,2.0,1.0,'str2'
4.0,1.0,2.0,1.0,'str2'
4.0,2.0,2.0,1.0,'str2'
4.0,3.0,2.0,1.0,'str2'
4.0,4.0,2.0,1.0,'str2'
4.0,5.0,2.0,1.0,'str2'
5.0,1.0,2.0,1.0,'str2'
5.0,2.0,2.0,1.0,'str2'
5.0,3.0,2.0,1.0,'str2'
5.0,4.0,2.0,1.0,'str2'
5.0,5.0,2.0,1.0,'str2'
1.0,1.0,3.0,1.0,'str1'
1.0,2.0,3.0,1.0,'str1'
1.0,3.0,3.0,1.0,'str0'
1.0,4.0,3.0,1.0,'str2'
1.0,5.0,3.0,1.0,'str2'
2.0,1.0,3.0,1.0,'str1'
2.0,2.0,3.0,1.0,'str2'
2.0,3.0,3.0,1.0,'str2'
2.0,4.0,3.0,1.0,'str2'
2.0,5.0,3.0,1.0,'str2'
3.0,1.0,3.0,1.0,'str0'
3.0,2.0,3.0,1.0,'str2'
3.0,3.0,3.0,1.0,'str2'
3.0,4.0,3.0,1.0,'str2'
3.0,5.0,3.0,1.0,'str2'
4.0,1.0,3.0,1.0,'str2'
4.0,2.0,3.0,1.0,'str2'
4.0,3.0,3.0,1.0,'str2'
4.0,4.0,3.0,1.0,'str2'
4.0,5.0,3.0,1.0,'str2'
5.0,1.0,3.0,1.0,'str2'
5.0,2.0,3.0,1.0,'str2'
5.0,3.0,3.0,1.0,'str2'
5.0,4.0,3.0,1.0,'str2'
5.0,5.0,3.0,1.0,'str2'
1.0,1.0,4.0,1.0,'str1'
1.0,2.0,4.0,1.0,'str1'
1.0,3.0,4.0,1.0,'str1'
1.0,4.0,4.0,1.0,'str0'
1.0,5.0,4.0,1.0,'str2'
2.0,1.0,4.0,1.0,'str1'
2.0,2.0,4.0,1.0,'str0'
2.0,3.0,4.0,1.0,'str2'
2.0,4.0,4.0,1.0,'str2'
2.0,5.0,4.0,1.0,'str2'
3.0,1.0,4.0,1.0,'str1'
3.0,2.0,4.0,1.0,'str2'
3.0,3.0,4.0,1.0,'str2'
3.0,4.0,4.0,1.0,'str2'
3.0,5.0,4.0,1.0,'str2'
4.0,1.0,4.0,1.0,'str0'
4.0,2.0,4.0,1.0,'str2'
4.0,3.0,4.0,1.0,'str2'
4.0,4.0,4.0,1.0,'str2'
4.0,5.0,4.0,1.0,'str2'
5.0,1.0,4.0,1.0,'str2'
5.0,2.0,4.0,1.0,'str2'
5.0,3.0,4.0,1.0,'str2'
5.0,4.0,4.0,1.0,'str2'
5.0,5.0,4.0,1.0,'str2'
1.0,1.0,5.0,1.0,'str1'
1.0,2.0,5.0,1.0,'str1'
1.0,3.0,5.0,1.0,'str1'
1.0,4.0,5.0,1.0,'str1'
1.0,5.0,5.0,1.0,'str0'
2.0,1.0,5.0,1.0,'str1'
2.0,2.0,5.0,1.0,'str1'
2.0,3.0,5.0,1.0,'str2'
2.0,4.0,5.0,1.0,'str2'
2.0,5.0,5.0,1.0,'str2'
3.0,1.0,5.0,1.0,'str1'
3.0,2.0,5.0,1.0,'str2'
3.0,3.0,5.0,1.0,'str2'
3.0,4.0,5.0,1.0,'str2'
3.0,5.0,5.0,1.0,'str2'
4.0,1.0,5.0,1.0,'str1'
4.0,2.0,5.0,1.0,'str2'
4.0,3.0,5.0,1.0,'str2'
4.0,4.0,5.0,1.0,'str2'
4.0,5.0,5.0,1.0,'str2'
5.0,1.0,5.0,1.0,'str0'
5.0,2.0,5.0,1.0,'str2'
5.0,3.0,5.0,1.0,'str2'
5.0,4.0,5.0,1.0,'str2'
5.0,5.0,5.0,1.0,'str2'
1.0,1.0,1.0,2.0,'str1'
1.0,2.0,1.0,2.0,'str0'
1.0,3.0,1.0,2.0,'str2'
1.0,4.0,1.0,2.0,'str2'
1.0,5.0,1.0,2.0,'str2'
2.0,1.0,1.0,2.0,'str0'
2.0,2.0,1.0,2.0,'str2'
2.0,3.0,1.0,2.0,'str2'
2.0,4.0,1.0,2.0,'str2'
2.0,5.0,1.0,2.0,'str2'
3.0,1.0,1.0,2.0,'str2'
3.0,2.0,1.0,2.0,'str2'
3.0,3.0,1.0,2.0,'str2'
3.0,4.0,1.0,2.0,'str2'
3.0,5.0,1.0,2.0,'str2'
4.0,1.0,1.0,2.0,'str2'
4.0,2.0,1.0,2.0,'str2'
4.0,3.0,1.0,2.0,'str2'
4.0,4.0,1.0,2.0,'str2'
4.0,5.0,1.0,2.0,'str2'
