@relation ./DSSD/data/datasets/chess/chess

@attribute Bkblk {'f','t'}
@attribute Bknwy {'f','t'}
@attribute Bkon8 {'f','t'}
@attribute Bkona {'f','t'}
@attribute Bkspr {'f','t'}
@attribute Bkxbq {'f','t'}
@attribute Bkxcr {'f','t'}
@attribute Bkxwp {'f','t'}
@attribute Blxwp {'f','t'}
@attribute Bxqsq {'f','t'}
@attribute Cntxt {'f','t'}
@attribute Dsopp {'f','t'}
@attribute Dwipd {'g','l'}
@attribute Hdchk {'f','t'}
@attribute Katri5 {'b','n','w'}
@attribute Mulch {'f','t'}
@attribute Qxmsq {'f','t'}
@attribute R2ar8 {'f','t'}
@attribute Reskd {'f','t'}
@attribute Reskr {'f','t'}
@attribute Rimmx {'f','t'}
@attribute Rkxwp {'f','t'}
@attribute Rxmsq {'f','t'}
@attribute Simpl {'f','t'}
@attribute Skach {'f','t'}
@attribute Skewr {'f','t'}
@attribute Skrxp {'f','t'}
@attribute Spcop {'f','t'}
@attribute Stlmt {'f','t'}
@attribute Thrsk {'f','t'}
@attribute Wkcti {'f','t'}
@attribute Wkna8 {'f','t'}
@attribute Wknck {'f','t'}
@attribute Wkovl {'f','t'}
@attribute Wkpos {'f','t'}
@attribute Wtoeg {'n','t'}
@attribute class {'str0','str1'}
@data
'f','f','f','f','f','f','f','f','f','f','f','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','t','f','f','f','f','f','f','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','t','f','t','f','f','f','f','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','f','f','f','f','t','f','f','f','l','f','n','f','f','t','f','f','f','t','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','f','f','f','f','f','f','f','f','l','f','n','f','f','t','f','f','f','f','f','t','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','f','f','f','f','f','f','f','f','l','f','n','f','f','t','f','f','f','f','f','t','f','t','f','f','f','t','f','f','f','t','t','n','str1'
'f','f','f','f','f','f','f','f','t','f','f','f','l','f','n','f','f','t','f','f','f','t','f','t','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','t','f','f','f','f','f','t','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','f','f','f','f','f','f','t','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','t','f','f','t','t','n','str1'
'f','f','f','f','f','f','t','f','f','f','t','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','t','f','t','f','f','f','t','f','l','f','n','f','f','t','f','f','f','f','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
'f','f','f','f','f','f','f','f','t','f','t','f','l','f','n','f','f','t','f','f','f','t','f','f','f','t','f','f','f','f','f','f','f','t','t','n','str1'
