@relation ./DSSD/data/datasets/nursery/nursery

@attribute Parents {'great_pret','pretentious','usual'}
@attribute Has_nurs {'critical','improper','less_proper','proper','very_crit'}
@attribute Form {'complete','completed','foster','incomplete'}
@attribute Children {'1','2','3','more'}
@attribute Housing {'convenient','critical','less_conv'}
@attribute Finance {'convenient','inconv'}
@attribute Social {'nonprob','problematic','slightly_prob'}
@attribute Health {'not_recom','priority','recommended'}
@attribute class {'str0','str1','str2','str3','str4'}
@data
'usual','proper','complete','1','convenient','convenient','nonprob','recommended','str2'
'usual','proper','complete','1','convenient','convenient','nonprob','not_recom','str0'
'usual','proper','complete','1','convenient','convenient','slightly_prob','priority','str1'
'usual','proper','complete','1','convenient','convenient','problematic','recommended','str1'
'usual','proper','complete','1','convenient','convenient','problematic','priority','str1'
'usual','proper','complete','1','convenient','convenient','problematic','not_recom','str0'
'usual','proper','complete','1','convenient','inconv','nonprob','recommended','str4'
'usual','proper','complete','1','convenient','inconv','nonprob','priority','str1'
'usual','proper','complete','1','convenient','inconv','nonprob','not_recom','str0'
'usual','proper','complete','1','convenient','inconv','slightly_prob','recommended','str4'
'usual','proper','complete','1','convenient','inconv','slightly_prob','priority','str1'
'usual','proper','complete','1','convenient','inconv','slightly_prob','not_recom','str0'
'usual','proper','complete','1','convenient','inconv','problematic','recommended','str1'
'usual','proper','complete','1','convenient','inconv','problematic','not_recom','str0'
'usual','proper','complete','1','less_conv','convenient','nonprob','recommended','str4'
'usual','proper','complete','1','less_conv','convenient','nonprob','priority','str1'
'usual','proper','complete','1','less_conv','convenient','slightly_prob','recommended','str4'
'usual','proper','complete','1','less_conv','convenient','slightly_prob','priority','str1'
'usual','proper','complete','1','less_conv','convenient','slightly_prob','not_recom','str0'
'usual','proper','complete','1','less_conv','convenient','problematic','recommended','str1'
'usual','proper','complete','1','less_conv','convenient','problematic','priority','str1'
'usual','proper','complete','1','less_conv','inconv','nonprob','recommended','str4'
'usual','proper','complete','1','less_conv','inconv','nonprob','priority','str1'
'usual','proper','complete','1','less_conv','inconv','slightly_prob','recommended','str4'
'usual','proper','complete','1','less_conv','inconv','slightly_prob','not_recom','str0'
'usual','proper','complete','1','less_conv','inconv','problematic','recommended','str1'
'usual','proper','complete','1','critical','convenient','nonprob','recommended','str4'
'usual','proper','complete','1','critical','convenient','nonprob','priority','str1'
'usual','proper','complete','1','critical','convenient','nonprob','not_recom','str0'
'usual','proper','complete','1','critical','convenient','slightly_prob','recommended','str4'
