@relation ./DSSD/data/datasets/TicTacToe/TicTacToe

@attribute a3 {'b','o','x'}
@attribute b3 {'b','o','x'}
@attribute b2 {'b','o','x'}
@attribute a1 {'b','o','x'}
@attribute b1 {'b','o','x'}
@attribute c2 {'b','o','x'}
@attribute a2 {'b','o','x'}
@attribute c1 {'b','o','x'}
@attribute c3 {'b','o','x'}
@attribute class {'str0','str1'}
@data
'x','o','o','x','x','o','x','x','o','str1'
'x','o','o','x','x','x','x','o','o','str1'
'x','o','o','x','x','o','x','o','x','str1'
'x','o','o','x','x','b','x','o','b','str1'
'x','o','o','x','x','o','x','b','b','str1'
'x','o','o','x','x','b','x','b','o','str1'
'x','b','o','x','x','o','x','o','b','str1'
'x','b','o','x','x','b','x','o','o','str1'
'x','b','o','x','x','o','x','b','o','str1'
'x','o','b','x','x','o','x','o','b','str1'
'x','o','b','x','x','b','x','o','o','str1'
'x','o','b','x','x','o','x','b','o','str1'
'x','o','x','x','o','o','x','x','o','str1'
'x','o','x','x','o','x','x','o','o','str1'
'x','o','x','x','o','o','x','o','x','str1'
'x','o','x','x','o','b','x','o','b','str1'
'x','o','x','x','o','o','x','b','b','str1'
'x','o','x','x','o','b','x','b','o','str1'
'x','b','x','x','o','o','x','o','b','str1'
'x','b','x','x','o','b','x','o','o','str1'
'x','b','x','x','o','o','x','b','o','str1'
'x','x','o','x','o','o','x','x','o','str1'
'x','x','o','x','o','x','x','o','o','str1'
'x','x','o','x','o','o','x','o','x','str1'
'x','x','o','x','o','b','x','o','b','str1'
'x','x','o','x','o','o','x','b','b','str1'
'x','x','o','x','o','b','x','b','o','str1'
'x','b','o','x','o','o','x','x','b','str1'
'x','b','o','x','o','b','x','x','o','str1'
'x','b','o','x','o','x','x','o','b','str1'
'x','b','o','x','o','b','x','o','x','str1'
'x','b','o','x','o','x','x','b','o','str1'
'x','b','o','x','o','o','x','b','x','str1'
'x','b','o','x','o','b','x','b','b','str1'
'x','x','b','x','o','o','x','o','b','str1'
'x','x','b','x','o','b','x','o','o','str1'
'x','x','b','x','o','o','x','b','o','str1'
'x','o','b','x','o','o','x','x','b','str1'
'x','o','b','x','o','b','x','x','o','str1'
'x','o','b','x','o','x','x','o','b','str1'
'x','o','b','x','o','b','x','o','x','str1'
'x','o','b','x','o','x','x','b','o','str1'
'x','o','b','x','o','o','x','b','x','str1'
'x','o','b','x','o','b','x','b','b','str1'
'x','b','b','x','o','o','x','x','o','str1'
'x','b','b','x','o','x','x','o','o','str1'
'x','b','b','x','o','o','x','o','x','str1'
'x','b','b','x','o','b','x','o','b','str1'
'x','b','b','x','o','o','x','b','b','str1'
'x','b','b','x','o','b','x','b','o','str1'
'x','o','x','x','b','o','x','o','b','str1'
'x','o','x','x','b','b','x','o','o','str1'
'x','o','x','x','b','o','x','b','o','str1'
'x','x','o','x','b','o','x','o','b','str1'
'x','x','o','x','b','b','x','o','o','str1'
'x','x','o','x','b','o','x','b','o','str1'
'x','o','o','x','b','o','x','x','b','str1'
'x','o','o','x','b','b','x','x','o','str1'
'x','o','o','x','b','x','x','o','b','str1'
'x','o','o','x','b','b','x','o','x','str1'
'x','o','o','x','b','x','x','b','o','str1'
'x','o','o','x','b','o','x','b','x','str1'
'x','o','o','x','b','b','x','b','b','str1'
'x','b','o','x','b','o','x','x','o','str1'
'x','b','o','x','b','x','x','o','o','str1'
'x','b','o','x','b','o','x','o','x','str1'
'x','b','o','x','b','b','x','o','b','str1'
'x','b','o','x','b','o','x','b','b','str1'
'x','b','o','x','b','b','x','b','o','str1'
'x','o','b','x','b','o','x','x','o','str1'
'x','o','b','x','b','x','x','o','o','str1'
'x','o','b','x','b','o','x','o','x','str1'
'x','o','b','x','b','b','x','o','b','str1'
'x','o','b','x','b','o','x','b','b','str1'
'x','o','b','x','b','b','x','b','o','str1'
'x','b','b','x','b','o','x','o','b','str1'
'x','b','b','x','b','b','x','o','o','str1'
'x','b','b','x','b','o','x','b','o','str1'
'o','o','x','x','x','o','x','o','x','str1'
'o','x','o','x','x','o','x','x','o','str1'
'o','o','o','x','x','o','x','x','x','str1'
'o','o','o','x','x','b','x','x','b','str1'
'o','b','o','x','x','o','x','x','b','str1'
'o','b','o','x','x','b','x','x','o','str1'
'o','o','b','x','x','o','x','x','b','str1'
'o','b','b','x','x','o','x','x','o','str1'
'o','x','x','x','o','x','x','o','o','str1'
'o','x','x','x','o','o','x','o','x','str1'
'o','o','x','x','o','o','x','x','x','str1'
'o','o','x','x','o','x','x','o','x','str1'
'o','o','x','x','o','x','x','b','b','str1'
'o','o','x','x','o','b','x','b','x','str1'
'o','b','x','x','o','x','x','o','b','str1'
'o','b','x','x','o','b','x','o','x','str1'
'o','b','x','x','o','x','x','b','o','str1'
'o','b','x','x','o','o','x','b','x','str1'
'o','o','x','x','b','x','x','o','b','str1'
'o','o','x','x','b','b','x','o','x','str1'
'o','o','x','x','b','o','x','b','x','str1'
'o','b','x','x','b','x','x','o','o','str1'
'o','b','x','x','b','o','x','o','x','str1'
'b','o','o','x','x','o','x','x','b','str1'
'b','o','o','x','x','b','x','x','o','str1'
'b','b','o','x','x','o','x','x','o','str1'
'b','o','b','x','x','o','x','x','o','str1'
'b','o','x','x','o','x','x','o','b','str1'
