White_king_col,White_king_row,White_rook_col,White_rook_row,Black_king_col,Black_king_row,class
a,one,b,three,c,two,draw
a,one,c,one,c,two,draw
a,one,c,one,d,one,draw
a,one,c,one,d,two,draw
a,one,c,two,c,one,draw
a,one,c,two,c,three,draw
a,one,c,two,d,one,draw
a,one,c,two,d,two,draw
a,one,c,two,d,three,draw
a,one,c,three,c,two,draw
a,one,c,three,d,two,draw
a,one,c,three,d,three,draw
a,one,c,three,d,four,draw
a,one,c,four,d,three,draw
a,one,d,one,c,one,draw
a,one,d,one,c,two,draw
a,one,d,one,d,two,draw
a,one,d,one,e,one,draw
a,one,d,one,e,two,draw
a,one,d,two,c,one,draw
a,one,d,two,c,two,draw
a,one,d,two,c,three,draw
a,one,d,two,d,one,draw
a,one,d,two,d,three,draw
a,one,d,two,e,one,draw
a,one,d,two,e,two,draw
a,one,d,two,e,three,draw
a,one,d,three,c,two,draw
a,one,d,three,c,three,draw
a,one,d,three,d,two,draw
a,one,d,three,d,four,draw
a,one,d,three,e,two,draw
a,one,d,three,e,three,draw
a,one,d,three,e,four,draw
a,one,d,four,c,three,draw
a,one,d,four,d,three,draw
a,one,d,four,e,three,draw
a,one,d,four,e,four,draw
a,one,d,four,e,five,draw
a,one,d,five,e,four,draw
a,one,e,one,d,one,draw
a,one,e,one,d,two,draw
a,one,e,one,e,two,draw
a,one,e,one,f,one,draw
a,one,e,one,f,two,draw
a,one,e,two,d,one,draw
a,one,e,two,d,two,draw
a,one,e,two,d,three,draw
a,one,e,two,e,one,draw
a,one,e,two,e,three,draw
a,one,e,two,f,one,draw
a,one,e,two,f,two,draw
a,one,e,two,f,three,draw
a,one,e,three,d,two,draw
a,one,e,three,d,three,draw
a,one,e,three,d,four,draw
a,one,e,three,e,two,draw
a,one,e,three,e,four,draw
a,one,e,three,f,two,draw
a,one,e,three,f,three,draw
a,one,e,three,f,four,draw
a,one,e,four,d,three,draw
a,one,e,four,d,four,draw
a,one,e,four,e,three,draw
a,one,e,four,e,five,draw
a,one,e,four,f,three,draw
a,one,e,four,f,four,draw
a,one,e,four,f,five,draw
a,one,e,five,d,four,draw
a,one,e,five,e,four,draw
a,one,e,five,f,four,draw
a,one,e,five,f,five,draw
a,one,e,five,f,six,draw
a,one,e,six,f,five,draw
a,one,f,one,e,one,draw
a,one,f,one,e,two,draw
a,one,f,one,f,two,draw
a,one,f,one,g,one,draw
a,one,f,one,g,two,draw
a,one,f,two,e,one,draw
a,one,f,two,e,two,draw
a,one,f,two,e,three,draw
a,one,f,two,f,one,draw
a,one,f,two,f,three,draw
a,one,f,two,g,one,draw
a,one,f,two,g,two,draw
a,one,f,two,g,three,draw
a,one,f,three,e,two,draw
a,one,f,three,e,three,draw
a,one,f,three,e,four,draw
a,one,f,three,f,two,draw
a,one,f,three,f,four,draw
a,one,f,three,g,two,draw
a,one,f,three,g,three,draw
a,one,f,three,g,four,draw
a,one,f,four,e,three,draw
a,one,f,four,e,four,draw
a,one,f,four,e,five,draw
a,one,f,four,f,three,draw
a,one,f,four,f,five,draw
a,one,f,four,g,three,draw
a,one,f,four,g,four,draw
a,one,f,four,g,five,draw
a,one,f,five,e,four,draw
a,one,f,five,e,five,draw
a,one,f,five,f,four,draw
a,one,f,five,f,six,draw
a,one,f,five,g,four,draw
a,one,f,five,g,five,draw
a,one,f,five,g,six,draw
a,one,f,six,e,five,draw
a,one,f,six,f,five,draw
a,one,f,six,g,five,draw
a,one,f,six,g,six,draw
a,one,f,six,g,seven,draw
a,one,f,seven,g,six,draw
a,one,g,one,f,one,draw
a,one,g,one,f,two,draw
a,one,g,one,g,two,draw
a,one,g,one,h,one,draw
a,one,g,one,h,two,draw
a,one,g,two,f,one,draw
a,one,g,two,f,two,draw
a,one,g,two,f,three,draw
a,one,g,two,g,one,draw
a,one,g,two,g,three,draw
a,one,g,two,h,one,draw
a,one,g,two,h,two,draw
a,one,g,two,h,three,draw
a,one,g,three,f,two,draw
a,one,g,three,f,three,draw
a,one,g,three,f,four,draw
a,one,g,three,g,two,draw
a,one,g,three,g,four,draw
a,one,g,three,h,two,draw
a,one,g,three,h,three,draw
a,one,g,three,h,four,draw
a,one,g,four,f,three,draw
a,one,g,four,f,four,draw
a,one,g,four,f,five,draw
a,one,g,four,g,three,draw
a,one,g,four,g,five,draw
a,one,g,four,h,three,draw
a,one,g,four,h,four,draw
a,one,g,four,h,five,draw
a,one,g,five,f,four,draw
a,one,g,five,f,five,draw
a,one,g,five,f,six,draw
a,one,g,five,g,four,draw
a,one,g,five,g,six,draw
a,one,g,five,h,four,draw
a,one,g,five,h,five,draw
a,one,g,five,h,six,draw
a,one,g,six,f,five,draw
a,one,g,six,f,six,draw
a,one,g,six,g,five,draw
a,one,g,six,g,seven,draw
a,one,g,six,h,five,draw
a,one,g,six,h,six,draw
a,one,g,six,h,seven,draw
a,one,g,seven,f,six,draw
a,one,g,seven,g,six,draw
a,one,g,seven,h,six,draw
a,one,g,seven,h,seven,draw
a,one,g,seven,h,eight,draw
a,one,g,eight,h,seven,draw
a,one,h,one,g,one,draw
a,one,h,one,g,two,draw
a,one,h,one,h,two,draw
a,one,h,two,g,one,draw
a,one,h,two,g,two,draw
a,one,h,two,g,three,draw
a,one,h,two,h,one,draw
a,one,h,two,h,three,draw
a,one,h,three,g,two,draw
a,one,h,three,g,three,draw
a,one,h,three,g,four,draw
a,one,h,three,h,two,draw
a,one,h,three,h,four,draw
a,one,h,four,g,three,draw
a,one,h,four,g,four,draw
a,one,h,four,g,five,draw
a,one,h,four,h,three,draw
a,one,h,four,h,five,draw
a,one,h,five,g,four,draw
a,one,h,five,g,five,draw
a,one,h,five,g,six,draw
a,one,h,five,h,four,draw
a,one,h,five,h,six,draw
a,one,h,six,g,five,draw
a,one,h,six,g,six,draw
a,one,h,six,g,seven,draw
a,one,h,six,h,five,draw
a,one,h,six,h,seven,draw
a,one,h,seven,g,six,draw
a,one,h,seven,g,seven,draw
a,one,h,seven,h,six,draw
a,one,h,seven,h,eight,draw
a,one,h,eight,g,seven,draw
a,one,h,eight,h,seven,draw
b,one,a,three,a,four,draw
b,one,a,three,b,three,draw
b,one,a,three,b,four,draw
b,one,a,four,a,three,draw
b,one,a,four,a,five,draw
b,one,a,four,b,three,draw
b,one,a,four,b,four,draw
b,one,a,four,b,five,draw
b,one,a,five,a,four,draw
b,one,a,five,a,six,draw
b,one,a,five,b,four,draw
b,one,a,five,b,five,draw
b,one,a,five,b,six,draw
b,one,a,six,a,five,draw
b,one,a,six,a,seven,draw
b,one,a,six,b,five,draw
b,one,a,six,b,six,draw
b,one,a,six,b,seven,draw
b,one,a,seven,a,six,draw
b,one,a,seven,a,eight,draw
b,one,a,seven,b,six,draw
b,one,a,seven,b,seven,draw
b,one,a,seven,b,eight,draw
b,one,a,eight,a,seven,draw
b,one,a,eight,b,seven,draw
b,one,a,eight,b,eight,draw
b,one,b,three,a,three,draw
b,one,b,three,a,four,draw
b,one,b,three,b,four,draw
b,one,b,three,c,three,draw
b,one,b,three,c,four,draw
b,one,b,four,a,three,draw
b,one,b,four,a,four,draw
b,one,b,four,a,five,draw
b,one,b,four,b,three,draw
b,one,b,four,b,five,draw
b,one,b,four,c,three,draw
b,one,b,four,c,four,draw
b,one,b,four,c,five,draw
b,one,b,five,a,four,draw
b,one,b,five,a,five,draw
b,one,b,five,a,six,draw
b,one,b,five,b,four,draw
b,one,b,five,b,six,draw
b,one,b,five,c,four,draw
b,one,b,five,c,five,draw
b,one,b,five,c,six,draw
b,one,b,six,a,five,draw
b,one,b,six,a,six,draw
b,one,b,six,a,seven,draw
b,one,b,six,b,five,draw
b,one,b,six,b,seven,draw
b,one,b,six,c,five,draw
b,one,b,six,c,six,draw
b,one,b,six,c,seven,draw
b,one,b,seven,a,six,draw
b,one,b,seven,a,seven,draw
b,one,b,seven,a,eight,draw
b,one,b,seven,b,six,draw
b,one,b,seven,b,eight,draw
b,one,b,seven,c,six,draw
b,one,b,seven,c,seven,draw
b,one,b,seven,c,eight,draw
b,one,b,eight,a,seven,draw
b,one,b,eight,a,eight,draw
b,one,b,eight,b,seven,draw
b,one,b,eight,c,seven,draw
b,one,b,eight,c,eight,draw
b,one,c,three,b,three,draw
b,one,c,three,b,four,draw
b,one,c,three,c,four,draw
b,one,c,three,d,two,draw
b,one,c,three,d,three,draw
b,one,c,three,d,four,draw
b,one,c,four,b,three,draw
b,one,c,four,b,four,draw
b,one,c,four,b,five,draw
b,one,c,four,c,three,draw
b,one,c,four,c,five,draw
b,one,c,four,d,three,draw
b,one,c,four,d,four,draw
b,one,c,four,d,five,draw
b,one,c,five,b,four,draw
b,one,c,five,b,five,draw
b,one,c,five,b,six,draw
b,one,c,five,c,four,draw
b,one,c,five,c,six,draw
b,one,c,five,d,four,draw
b,one,c,five,d,five,draw
b,one,c,five,d,six,draw
b,one,c,six,b,five,draw
b,one,c,six,b,six,draw
b,one,c,six,b,seven,draw
b,one,c,six,c,five,draw
b,one,c,six,c,seven,draw
b,one,c,six,d,five,draw
b,one,c,six,d,six,draw
b,one,c,six,d,seven,draw
b,one,c,seven,b,six,draw
b,one,c,seven,b,seven,draw
b,one,c,seven,b,eight,draw
b,one,c,seven,c,six,draw
b,one,c,seven,c,eight,draw
b,one,c,seven,d,six,draw
b,one,c,seven,d,seven,draw
b,one,c,seven,d,eight,draw
b,one,c,eight,b,seven,draw
b,one,c,eight,b,eight,draw
b,one,c,eight,c,seven,draw
b,one,c,eight,d,seven,draw
b,one,c,eight,d,eight,draw
b,one,d,one,d,two,draw
b,one,d,one,e,one,draw
b,one,d,one,e,two,draw
b,one,d,two,c,three,draw
b,one,d,two,d,one,draw
b,one,d,two,d,three,draw
b,one,d,two,e,one,draw
b,one,d,two,e,two,draw
b,one,d,two,e,three,draw
b,one,d,three,c,three,draw
b,one,d,three,c,four,draw
b,one,d,three,d,two,draw
b,one,d,three,d,four,draw
b,one,d,three,e,two,draw
b,one,d,three,e,three,draw
b,one,d,three,e,four,draw
b,one,d,four,c,three,draw
b,one,d,four,c,four,draw
b,one,d,four,c,five,draw
b,one,d,four,d,three,draw
b,one,d,four,d,five,draw
b,one,d,four,e,three,draw
b,one,d,four,e,four,draw
b,one,d,four,e,five,draw
b,one,d,five,c,four,draw
b,one,d,five,c,five,draw
b,one,d,five,c,six,draw
b,one,d,five,d,four,draw
b,one,d,five,d,six,draw
b,one,d,five,e,four,draw
b,one,d,five,e,five,draw
b,one,d,five,e,six,draw
b,one,d,six,c,five,draw
b,one,d,six,c,six,draw
b,one,d,six,c,seven,draw
b,one,d,six,d,five,draw
b,one,d,six,d,seven,draw
b,one,d,six,e,five,draw
b,one,d,six,e,six,draw
b,one,d,six,e,seven,draw
b,one,d,seven,c,six,draw
b,one,d,seven,c,seven,draw
b,one,d,seven,c,eight,draw
b,one,d,seven,d,six,draw
b,one,d,seven,d,eight,draw
b,one,d,seven,e,six,draw
b,one,d,seven,e,seven,draw
b,one,d,seven,e,eight,draw
b,one,d,eight,c,seven,draw
b,one,d,eight,c,eight,draw
b,one,d,eight,d,seven,draw
