datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,wkl_sum,length_orig,length_final,length_ratio,runtime,nsamples_train, 
abalone,679.125,464.281,237.9375,194.3019,0.0043,0.0017,0.0909,16,2.1875,3108.8304,15035.3163,13179.2345,0.8766,32.7996,4174, 
adult,1497.301,614.8259,395.767,136.0843,0.0096,0.0022,0.0155,103,3.699,14016.6869,36532.2752,25626.8259,0.7015,118.5473,45222, 
australian,165.0,116.943,108.6,76.167,0.1051,0.0679,0.1285,5,2.4,380.8352,683.9493,414.7961,0.6065,4.7769,690, 
automobile,25.4,34.1676,20.2,39.8636,0.0296,0.0307,0.0471,5,2.0,199.3178,360.4057,303.7841,0.8429,12.8519,159, 
balance,137.7778,69.1136,62.8889,48.1512,0.0466,0.0277,0.1125,9,2.7778,433.3606,823.8227,600.0357,0.7284,1.7825,625, 
breastCancer,193.1667,175.6418,104.8333,93.4602,0.1301,0.0688,0.1871,6,2.0,560.7609,637.9238,186.7627,0.2928,2.7714,683, 
chess,811.8824,149.3446,184.6471,182.5998,0.0385,0.0287,0.1138,17,2.1176,3104.1966,3191.4474,397.5878,0.1246,6.5115,3196, 
CMC,207.7143,60.8557,162.0,52.4697,0.0218,0.0181,0.0359,7,2.2857,367.2876,2266.9979,2069.6906,0.913,2.6285,1473, 
dermatology,71.1111,99.2091,37.6667,83.865,0.0378,0.0266,0.0661,9,2.1111,754.7846,869.3854,376.6206,0.4332,12.3807,358, 
german,136.0,37.217,115.25,36.0566,0.0331,0.0313,0.0525,4,3.0,144.2263,881.2909,834.4625,0.9469,3.7883,1000, 
glass,70.8,94.4792,41.6,82.1664,0.0614,0.0466,0.2341,5,1.4,410.8319,465.7783,174.8278,0.3753,6.0686,214, 
haberman,56.0,13.2662,56.0,13.2662,0.0496,0.0496,0,1,1.0,13.2662,255.1321,253.5863,0.9939,0.1418,306, 
iris,66.75,48.6045,36.5,53.951,0.1137,0.1037,0.1997,4,1.25,215.804,237.7444,84.2944,0.3546,0.6977,150, 
kr-vs-k,344.7379,291.5708,79.906,146.2705,0.0005,0.0002,0.0037,351,2.8632,51340.9303,98312.6855,63440.1697,0.6453,114.8979,28056, 
magic,720.942,497.3756,238.3188,128.664,0.0155,0.0043,0.0271,69,3.9565,8877.813,17793.5,11174.0278,0.628,86.4849,19020, 
mushrooms,2930.0,559.9805,677.0,676.369,0.0586,0.0416,0.1465,12,1.25,8116.4276,8116.4276,173.0012,0.0213,3.4903,8124, 
nursery,885.5185,384.368,160.0,260.7808,0.0062,0.0033,0.0231,81,2.6914,21123.2424,22245.7869,3157.3239,0.1419,11.6654,12960, 
page-blocks,466.619,240.2797,224.7143,127.8482,0.006,0.003,0.0332,21,3.0952,2684.8122,3471.9213,1498.2042,0.4315,25.9339,5472, 
sonar,47.5,36.1738,45.0,45.1474,0.1018,0.1082,0.0556,2,2.5,90.2948,207.3198,178.4997,0.861,19.9558,208, 
TicTacToe,112.6875,34.6302,55.1875,51.9484,0.0199,0.0263,0.0346,16,2.1875,831.1745,891.8539,303.9123,0.3408,1.8352,958, 
zoo,40.0,40.8082,20.2,42.082,0.0489,0.0419,0.208,5,1.0,210.4099,241.4465,123.784,0.5127,1.7368,101,
balance,137.7778,69.1136,62.8889,48.1512,0.0466,0.0277,0.1125,9,2.7778,433.3606,823.8227,600.0357,0.7284,1.979,625, 
,
