datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,wkl_sum,wkl_sum_norm,wacc_supp_sum,wacc_usg_sum,std_rules,top1_std,avg_items,runtime
baseball,54.1923,23.6903,12.8846,18.1019,26093.3672,nan,0.0687,26,470.6501,1.3966,678427.546,nan,1011.5924,1011.5924,4.0769,32.7741, 
autoMPG8,89.0,67.4429,17.7273,25.9053,394.267,nan,0.092,22,569.9157,1.4539,8673.8735,nan,4.2193,4.2193,3.7273,3.2576, 
dee,64.5,38.6611,18.2,23.545,36.9772,nan,0.0713,20,470.9004,1.2901,739.5446,nan,0.4795,0.4795,4.0,3.5238, 
ele-1,78.1818,56.0187,22.4545,25.5905,52927.0928,nan,0.0491,22,562.9911,1.1374,1164396.0424,nan,1228.0291,1228.0291,4.0,0.8539, 
forestFires,37.7193,26.2823,9.0526,24.764,203.4094,nan,0.0136,57,1411.5465,2.7303,11594.3365,nan,435.287,435.287,4.4386,49.2426, 
concrete,176.3714,72.8975,29.3714,37.3208,1433.3422,nan,0.0747,35,1306.2264,1.2682,50166.9766,nan,10.9033,10.9033,4.3429,11.7051, 
treasury,217.7619,230.4488,49.8095,137.0208,510.6127,nan,0.0953,21,2877.4371,2.743,10722.8676,nan,2.31,2.31,3.8571,38.7135, 
wizmir,371.0769,287.0626,56.0385,120.6898,3492.0092,nan,0.1264,26,3137.9338,2.1478,90792.2402,nan,4.4692,4.4692,4.1538,11.4618, 
abalone,241.5794,77.2536,33.1349,15.7302,331.3645,nan,0.0143,126,1981.9994,0.4745,41751.9303,nan,1.9152,1.9152,4.5794,66.21, 
puma32h,775.6429,275.4135,116.9857,162.5024,8.2499,nan,0.0359,70,11375.1702,1.3886,577.4911,nan,0.018,0.018,4.7286,1027.0167, 
ailerons,1638.5238,366.4493,130.9143,136.1127,0.2111,nan,0.0319,105,14291.8285,1.0394,22.162,nan,0.0005,0.0005,4.2762,921.7363, 
elevators,918.8333,319.6885,110.6333,91.6093,2.3257,nan,0.016,150,13741.3902,0.8278,348.8562,nan,0.0097,0.0097,4.7067,492.6838, 
bikesharing,1964.9231,693.9923,190.9451,236.7984,149039.9941,nan,0.0375,91,21548.6514,1.2399,13562639.4613,nan,196.9911,196.9911,4.3626,80.5926, 
california,1603.2241,419.1663,177.9224,123.377,70789855.8876,nan,0.0239,116,14311.7366,0.6934,8211623282.9619,nan,104212.7218,104212.7218,4.7328,106.4687, 
house,2151.3776,669.5184,159.3007,145.2653,45867030.0797,nan,0.024,143,20772.9398,0.9117,6558985301.4029,nan,83977.1095,83977.1095,4.5874,581.978, 
