datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,wkl_sum,wkl_sum_norm,wacc_supp_sum,wacc_usg_sum,avg_items,runtime
sonar,45.0,49.5237,45.0,49.5237,0.1155,0.1155,0,1,49.5237,0.2381,0.1155,0.1155,3.5,70.1149, 
haberman,24.0,24.5246,24.0,24.5246,0.0446,0.0446,0,1,24.5246,0.0801,0.0446,0.0446,5.0,0.2813, 
breastCancer,209.6667,249.0269,106.5,126.726,0.1844,0.0933,0.9687,2,253.4519,0.3711,0.5533,0.1866,2.1667,1.7033, 
australian,315.0,181.346,315.0,181.346,0.1799,0.1799,0,1,181.346,0.2628,0.1799,0.1799,3.0,3.3127, 
TicTacToe,154.0,136.624,134.25,120.8402,0.0704,0.062,0.0443,4,483.361,0.5046,0.2818,0.2481,3.0,0.6407, 
german,281.0,79.9477,142.0,40.266,0.0698,0.0351,0.9789,2,80.5319,0.0805,0.1396,0.0702,5.0,5.3754, 
chess,743.0,791.7165,743.0,791.7165,0.1214,0.1214,0,1,791.7165,0.2477,0.1214,0.1214,3.4118,2.4377, 
mushrooms,3796.0,3996.4648,3796.0,3996.4648,0.242,0.242,0,1,3996.4648,0.4919,0.242,0.242,3.8333,13.2979, 
magic,2990.0833,2826.1169,1101.3333,992.1079,0.086,0.0307,0.9157,3,2976.3238,0.1565,2.0633,0.092,4.8551,13.5948, 
adult,10760.875,5012.1878,3844.3333,1687.8921,0.0905,0.0308,0.9109,3,5063.6762,0.112,0.7242,0.0923,5.0,55.6137, 
iris,50.0,79.2481,50.0,79.2481,0.1481,0.1481,0,1,79.2481,0.5283,0.1481,0.1481,2.0,0.4063, 
balance,135.0,102.2496,94.5,64.405,0.067,0.0442,0.4286,2,128.8101,0.2061,0.134,0.0884,3.0,0.375, 
CMC,93.0,106.4948,93.0,106.4948,0.0237,0.0237,0,1,106.4948,0.0723,0.0237,0.0237,2.7143,1.047, 
page-blocks,294.1818,970.5727,89.5,256.8606,0.0184,0.005,0.8977,4,1027.4425,0.1878,0.2019,0.0202,4.9048,3.3128, 
nursery,3420.0,5060.5718,6480.0,5950.557,0.0667,0.0889,0.523,2,11901.114,0.9183,1.6,0.1778,2.3827,2.0939, 
automobile,51.0,60.5851,51.0,60.5851,0.0592,0.0592,0,1,60.5851,0.381,0.0592,0.0592,4.2,7.8444, 
glass,61.6667,107.1846,59.5,107.5748,0.067,0.0659,0.3235,2,215.1496,1.0054,0.201,0.1318,2.4,1.7033, 
dermatology,107.0,178.4731,37.6667,64.0792,0.0684,0.0242,0.9407,3,192.2375,0.537,0.3418,0.0726,2.3333,6.6724, 
kr-vs-k,6588.9688,5231.0245,2667.1429,1787.7763,0.0112,0.0041,0.3258,7,12514.4342,0.4461,0.3596,0.029,4.849,5.0004, 
abalone,792.1111,1011.2805,138.8333,177.9291,0.0078,0.0014,0.9741,6,1067.5747,0.2558,0.0701,0.0082,4.9375,3.0494, 
birds,234.5,302.166,80.6667,105.0658,0.3481,0.1207,0.9634,3,315.1975,0.4887,2.7848,0.3621,5.0,621.1737, 
CAL500,85.0,732.1556,85.0,732.1556,2.0384,2.0384,0,1,732.1556,1.4585,2.0384,2.0384,5.0,122.119, 
Corel5k,186.572,395.577,16.2866,94.5767,0.0649,0.0119,0.0301,307,29035.0602,5.807,2156.0186,3.6496,3.4631,1098.2573, 
emotions,114.25,364.284,36.25,105.9356,0.4081,0.1233,0.7244,4,423.7426,0.7146,1.6323,0.4933,4.9412,108.5241, 
flags,30.0,85.8635,30.0,85.8635,0.326,0.326,0,1,85.8635,0.4426,0.326,0.326,3.6,2.5783, 
genbase,170.0,584.9563,170.0,584.9563,0.4457,0.4457,0,1,584.9563,0.8836,0.4457,0.4457,1.9333,1451.317, 
mediamill,6744.7284,18893.9698,2248.6667,6325.1952,0.4409,0.1472,0.9996,3,18975.5855,0.4322,35.7098,0.4415,4.9924,1183.2804, 
scene,466.5385,904.0961,80.5,156.1009,0.2681,0.0461,0.9797,6,936.6054,0.3891,6.9697,0.2765,5.0,3477.1323, 
yeast,155.3333,748.5761,14.3,58.7249,0.2135,0.0174,0.6644,20,1174.4974,0.4859,7.0443,0.3472,5.0,242.9097, 
