datasetname,avg_supp,wkl_supp,avg_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,wkl_sum,wkl_sum_norm,wacc_supp_sum,wacc_usg_sum,std_rules,top1_std,avg_items,runtime
baseball,63.0,85.5484,32.5,43.6155,105241.724,53441.8338,0.9385,2,87.2309,0.2588,210483.4481,106883.6677,1011.5924,1011.5924,4.8571,3.3752, 
autoMPG8,80.25,139.445,24.5,42.5291,870.0901,nan,0.8578,4,170.1164,0.434,3480.3602,nan,4.2193,4.2193,4.875,1.0001, 
dee,115.0,167.456,115.0,167.456,130.0376,130.0376,0,1,167.456,0.4588,130.0376,130.0376,0.4795,0.4795,4.4444,0.8282, 
ele-1,102.75,132.0941,14.375,17.8536,157336.8689,nan,0.8652,8,142.8286,0.2885,1258694.9515,nan,1228.0291,1228.0291,4.125,0.2031, 
forestFires,5.0,289.2675,2.0,39.7221,1938.9548,nan,0.4052,8,317.7764,0.6147,15511.6383,nan,435.287,435.287,4.9091,1.7814, 
concrete,159.4,227.3484,39.6,58.4133,3585.063,nan,0.7611,5,292.0663,0.2836,17925.3151,nan,10.9033,10.9033,4.3889,1.422, 
treasury,125.0,446.499,125.0,446.499,917.1869,917.1869,0,1,446.499,0.4256,917.1869,917.1869,2.31,2.31,3.4839,4.3284, 
wizmir,496.5,979.9509,125.25,256.9713,8323.5528,nan,0.9833,4,1027.8853,0.7035,33294.2113,nan,4.4692,4.4692,4.7727,2.047, 
abalone,1112.5455,927.3417,52.9545,43.53,3121.4482,nan,0.9415,22,957.6603,0.2293,68671.8609,nan,1.9152,1.9152,4.7692,2.547, 
puma32h,1270.8485,2197.0442,82.1818,137.5279,54.6059,nan,0.8631,33,4538.4192,0.554,1801.9958,nan,0.018,0.018,4.9583,45.3004, 
ailerons,1745.0,3235.9403,1745.0,3235.9403,1.136,1.136,0,1,3235.9403,0.2353,1.136,1.136,0.0005,0.0005,4.6531,38.5655, 
elevators,1078.0,3746.1404,135.75,468.5421,15.2984,nan,0.9903,8,3748.3369,0.2258,122.3872,nan,0.0097,0.0097,4.8608,14.7668, 
bikesharing,2232.1207,3057.0076,100.6897,77.55,552605.1773,nan,0.5331,58,4497.8985,0.2588,32051100.2856,nan,196.9911,196.9911,4.8897,6.2349, 
california,2838.3478,3926.4602,64.6522,85.7956,450925624.111,nan,0.9422,46,3946.5998,0.1912,20742578709.1045,nan,104212.7218,104212.7218,4.7586,8.9069, 
house,2707.0149,3711.2264,20.597,21.6041,166718897.3037,nan,0.7396,201,4342.4156,0.1906,33510498358.0509,nan,83977.1095,83977.1095,4.9554,23.7675, 
edm,19.75,53.1071,6.0,18.1232,17.289,nan,0.7804,4,72.4929,0.4707,69.1558,nan,0.3153,0.3432,5.0,4.6524, 
enb,384.0,1047.1642,384.0,1047.1642,6714.245,6714.245,0.0,2,2094.3284,2.727,13428.49,13428.49,5.7061,5.9468,1.7805,1.1831, 
jura,27.3333,109.7544,7.1667,28.2893,448.3867,nan,0.62,6,169.7357,0.4728,2690.3204,nan,14.4015,1.1337,4.8667,2.2875, 
oes10,12.0,2645.491,12.0,2645.491,964887.6541,964887.6541,0,1,2645.491,6.5645,964887.6541,964887.6541,3162.2596,976.2371,3.0,1652.676, 
oes97,11.0,2187.0938,11.0,2187.0938,1122501.7821,1122501.7821,0,1,2187.0938,6.5482,1122501.7821,1122501.7821,3992.1037,11442.1532,3.0,924.6545, 
osales,5.0,1388.3177,5.0,1388.3177,4014420.1878,4014420.1878,0,1,1388.3177,2.1726,4014420.1878,4014420.1878,27859.8874,181695.7897,4.0,120.0812, 
sf1,8.0,51.9759,8.0,51.9759,9.6718,9.6718,0,1,51.9759,0.1609,9.6718,9.6718,0.5073,0.7071,5.0,0.289, 
sf2,80.0,916.3865,80.0,916.3865,97.7824,97.7824,0,1,916.3865,0.8596,97.7824,97.7824,0.9166,1.6354,5.0,0.4693, 
slump,11.0,142.2656,11.0,142.2656,595.9879,595.9879,0,1,142.2656,1.3812,595.9879,595.9879,1.9847,0.9875,4.75,0.6733, 
